MANIFEST IDENTIFER NUMBER,SHIP NAME,CODE FOR SHIP PORT OF EMBARKATION,SHIP ARRIVAL DATE,NUMBER OF CORRESPONDING PASSENGERS
69,GARRICK,4,01-30-1847,359
70,NIAGARA,4,02-26-1847,87
81,THETIS,18,02-25-1847,96
112,CLUTHA,6,06-16-1848,183
113,ADONIS,4,06-17-1848,285
114,ARGYLE,46,06-17-1848,244
118,REPUBLIC,4,06-20-1848,241
119,ARETHUSA,53,06-20-1848,121
132,ELIZA,50,06-24-1848,67
146,AGNES,4,06-24-1848,162
147,ISAAC WRIGHT,4,06-22-1848,249
151,MONTREAL,4,06-12-1848,144
152,FANCHION,4,06-12-1848,195
156,LORD BYRON,6,06-12-1848,149
157,CHENAGO,61,06-12-1848,13
159,SAMOSET,4,06-12-1848,107
161,QUEEN,4,06-01-1848,334
162,INFANTA,59,06-01-1848,164
166,SIR JAMES MCDONALD,59,06-09-1848,92
169,GONDAR,4,06-12-1848,205
186,Unknown,45,06-12-1848,16
187,HELENA,35,06-13-1848,130
188,HOTTINGUER,4,06-13-1848,8
189,MILAN,4,06-13-1848,257
192,CALIFORNIA,4,06-14-1848,227
197,EMERALD,3,06-13-1848,69
213,OREGON,4,06-02-1848,257
223,CALEDONIA,3,06-16-1848,275
244,MEMNON,4,06-27-1848,267
252,BRITTANIA OF GLASGOW,4,06-26-1848,4
253,ASHBURTON,4,06-26-1848,263
370,ADAM CARR,6,06-26-1848,21
374,TRITON,59,06-29-1848,266
451,LEONIDAS,4,06-28-1848,260
453,VANDALIA,4,06-29-1848,146
458,E.Z.,4,06-27-1848,49
472,KATE HOWE,4,06-30-1848,212
473,SOPHIA,50,06-27-1848,75
490,SARAH SANDS,4,06-28-1848,83
493,KING PHILIP,63,06-26-1848,1
503,SULTAN,59,06-29-1848,133
504,W M VAIL,4,06-29-1848,223
509,BRITISH QUEEN,106,06-29-1848,211
511,GRAMPION,18,06-26-1848,274
517,JANE,4,06-29-1848,206
676,JANET,132,10-10-1848,130
680,ST. LAWRENCE,4,10-09-1848,36
683,ANGENORA            5,4,07-10-1848,205
684,ADAM CARR,6,10-10-1848,5
685,HANNAH              7,134,07-10-1848,52
686,W A COOPER          4,4,07-10-1848,228
687,MADAWASKA           3,6,07-10-1848,24
689,BROTHERS,53,07-11-1848,188
690,JOSEPH R PRIM,134,07-11-1848,45
696,WELLINGTON,61,10-12-1848,2
698,SIDDONS,4,07-11-1848,245
702,HARMONY,50,07-18-1848,70
703,SCOTIA,59,10-02-1848,74
704,SARDINIA,4,07-17-1848,211
705,MARTHA J. WARD,4,07-14-1848,135
706,ONEIDA,4,07-14-1848,291
710,PEDRAZA,38,07-19-1848,13
711,ASHLAND,4,07-21-1848,135
714,YORKSHIRE,4,10-28-1848,233
715,ROBERT A PARK,35,07-14-1848,173
716,ARCHIMEDES,106,07-13-1848,116
717,STUART ELPHUSTON,6,07-12-1848,64
718,PHILAH,18,07-21-1848,150
719,MASONIC,4,07-20-1848,111
720,LORD FITZGERALD,35,07-01-1848,52
721,JAMESTOWN,4,07-08-1848,288
727,ELIZA MORRISON,18,07-08-1848,264
735,JANE ANDERSON,46,07-03-1848,124
738,PURSUIT,4,07-03-1848,239
744,Unknown,6,11-06-1848,41
745,LIVERPOOL           1,4,07-10-1848,284
769,MARGARET JANE,136,01-12-1846,1
771,EMPIRE,4,01-15-1846,72
772,OXFORD,4,01-16-1846,69
773,ROCHESTER,4,01-16-1846,61
776,CORNELIA,4,01-26-1846,24
777,NEW YORK PACKET,70,01-26-1846,2
779,VIRGINIAN,4,01-29-1846,114
780,HYDER ALI,137,02-02-1846,1
782,COLUMBUS,4,02-02-1846,33
783,WATERLOO,4,02-05-1846,1
784,MUDARA,17,02-07-1846,1
786,ST. GEORGE,4,02-18-1846,67
787,ADAM CARR,6,02-19-1846,1
788,FIDELIA,4,02-23-1846,89
790,GRANDEE,70,03-02-1846,2
791,TORONTO,61,03-04-1846,3
792,MASSACHUSETTS,4,03-05-1846,6
793,HOTTINGUER,4,03-06-1846,20
794,ASHBURTON,4,03-07-1846,71
