Manifest Identification Number,Ship Name,Port of Departure (Embarkation),Date of Arrival
1,MASSILIA,81,4/4/1894 0:00:00
2,LOUISA,4,5/30/1848 0:00:00
4,ITALIA,1,4/7/1894 0:00:00
5,UNITED STATES,4,5/31/1848 0:00:00
6,TEUTONIC,80,4/15/1897 0:00:00
7,KENT,4,5/31/1848 0:00:00
8,BRITANNIA,81,2/24/1890 0:00:00
9,ROSETTA,18,5/31/1848 0:00:00
10,ANN MCLESTER,3,5/31/1848 0:00:00
11,CASTALIA,16,11/8/1880 0:00:00
12,DEVON,4,5/31/1848 0:00:00
13,AGNES,59,5/31/1848 0:00:00
14,BRITANNIA,1,4/23/1883 0:00:00
15,PLATA,10,1/2/1892 0:00:00
16,UMBRIA,4,7/1/1889 0:00:00
17,INDUSTRY,59,6/5/1848 0:00:00
18,NANCY,50,6/6/1848 0:00:00
19,ENTERPRISE,59,6/6/1848 0:00:00
20,ALSATIA,297,6/3/1891 0:00:00
21,GOTTARDO,1,5/29/1884 0:00:00
22,WELLINGTON,61,6/10/1848 0:00:00
23,GREAT WESTERN,60,6/10/1848 0:00:00
24,ALSATIA,1,3/8/1893 0:00:00
25,BURGUNDIA,1,1/25/1894 0:00:00
26,PLATA,10,10/16/1891 0:00:00
27,MERCY,52,6/12/1848 0:00:00
28,COURIER,4,6/14/1848 0:00:00
29,CITY OF BERLIN,80,2/8/1890 0:00:00
30,UMBRIA,4,8/26/1889 0:00:00
31,CHATEAU YQUEM,1,3/26/1896 0:00:00
32,BIRMANIA,7,9/30/1891 0:00:00
33,TRINACRIA,1,7/30/1892 0:00:00
34,GOVERNOR HINCKLEY,46,6/28/1848 0:00:00
37,OLYMPIA,1,1/6/1887 0:00:00
40,FULDA,85,5/16/1892 0:00:00
41,KARAMANIA,1,11/29/1890 0:00:00
42,ENTELLA,10,2/23/1891 0:00:00
43,SCOTIA,1,11/1/1895 0:00:00
44,FERDINAND DE LESSEPS,87,2/15/1882 0:00:00
45,GIAVA,83,4/16/1891 0:00:00
46,BURGUNDIA,81,8/6/1890 0:00:00
48,ELYSIA,1,4/10/1894 0:00:00
54,GELLERT,89,2/8/1894 0:00:00
56,ETRURIA,80,11/3/1890 0:00:00
61,NORMANNIA,89,1/16/1894 0:00:00
63,ALESIA,90,4/25/1885 0:00:00
64,ENTELLA,10,3/22/1889 0:00:00
65,NEDERLAND,22,3/8/1887 0:00:00
69,GARRICK,4,1/30/1847 0:00:00
70,NIAGARA,4,2/26/1847 0:00:00
78,ALESIA,1,5/24/1884 0:00:00
81,THETIS,18,2/25/1847 0:00:00
84,UTOPIA,97,9/6/1889 0:00:00
85,LETIMBRO,10,9/12/1888 0:00:00
101,ROSINA,20,6/1/1880 0:00:00
102,EUGENIA SONGO,1,6/5/1880 0:00:00
106,GIAVA,1,6/9/1890 0:00:00
108,LETIMBRO,10,12/3/1888 0:00:00
112,CLUTHA,6,6/16/1848 0:00:00
113,ADONIS,4,6/17/1848 0:00:00
114,ARGYLE,46,6/17/1848 0:00:00
118,REPUBLIC,4,6/20/1848 0:00:00
119,ARETHUSA,53,6/20/1848 0:00:00
130,OLYMPIA,1,5/8/1890 0:00:00
132,ELIZA,50,6/24/1848 0:00:00
133,RUGIA,93,5/4/1891 0:00:00
146,AGNES,4,6/24/1848 0:00:00
147,ISAAC WRIGHT,4,6/22/1848 0:00:00
148,BOLIVIA,1,5/22/1890 0:00:00
151,MONTREAL,4,6/12/1848 0:00:00
152,FANCHON,4,6/12/1848 0:00:00
156,LORD BYRON,6,6/12/1848 0:00:00
157,CHENANGO,61,6/12/1848 0:00:00
159,SAMOSET,4,6/12/1848 0:00:00
161,THE QUEEN,4,6/1/1848 0:00:00
162,INFANTA,59,6/1/1848 0:00:00
166,SIR JAMES MCDONALD,59,6/9/1848 0:00:00
169,GONDAR,4,6/12/1848 0:00:00
185,NEW YORK,28,3/2/1896 0:00:00
186,TRUE BLUE,45,6/12/1848 0:00:00
187,HELENA,35,6/13/1848 0:00:00
188,HOTTINGUER,4,6/13/1848 0:00:00
189,MILAN,4,6/13/1848 0:00:00
192,CALIFORNIA,4,6/14/1848 0:00:00
197,EMERALD,3,6/13/1848 0:00:00
199,TEUTONIC,80,3/1/1894 0:00:00
201,BRITANNIA,81,8/26/1890 0:00:00
210,GALLIA,80,12/27/1887 0:00:00
213,OREGON,4,6/2/1848 0:00:00
215,PICARDIE,81,7/26/1882 0:00:00
221,SWITZERLAND,22,1/23/1880 0:00:00
222,HESPERIA,98,9/7/1891 0:00:00
223,CALEDONIA,3,6/16/1848 0:00:00
226,ORSOLA,160,3/8/1882 0:00:00
227,DEVONIA,91,2/12/1880 0:00:00
230,CALEDONIA,1,2/27/1882 0:00:00
233,VICTORIA,97,8/25/1890 0:00:00
234,UMBRIA,4,12/16/1889 0:00:00
235,NEUSTRIA,81,7/24/1895 0:00:00
236,VINCENZO FLORIO,10,10/8/1881 0:00:00
237,LA GASCOGNE,16,3/18/1895 0:00:00
239,ALESIA,81,5/7/1890 0:00:00
240,CHATEAU LAFITE,21,5/28/1889 0:00:00
242,CACHEMIRE,1,4/18/1890 0:00:00
243,LA GASCOGNE,16,10/9/1893 0:00:00
244,MEMNON,4,6/27/1848 0:00:00
246,LABRADOR,16,6/30/1881 0:00:00
248,PATRIA,81,12/21/1895 0:00:00
249,BURGUNDIA,81,6/10/1890 0:00:00
251,BURGUNDIA,83,6/11/1883 0:00:00
252,BRITANNIA,4,6/26/1848 0:00:00
253,ASHBURTON,4,6/26/1848 0:00:00
271,RUGIA,23,12/2/1889 0:00:00
294,ITALY,4,6/8/1891 0:00:00
319,BURGUNDIA,1,6/3/1891 0:00:00
321,BRITANNIA,1,11/17/1884 0:00:00
322,PICTAVIA,1,4/21/1890 0:00:00
356,BRITANNIA,81,12/23/1889 0:00:00
369,BRITANNIA,90,3/28/1885 0:00:00
370,ADAM CARR,6,6/26/1848 0:00:00
374,TRITON,59,6/29/1848 0:00:00
375,PATRIA,81,3/9/1896 0:00:00
380,ALESIA,1,4/13/1896 0:00:00
403,SAINT LAURENT,80,8/5/1880 0:00:00
436,ENTELLA,1,5/28/1892 0:00:00
437,SAINT LAURENT,16,4/16/1880 0:00:00
447,NEUSTRIA,81,5/12/1892 0:00:00
448,WASHINGTON,10,4/15/1882 0:00:00
451,LEONIDAS,4,6/28/1848 0:00:00
452,INIZIATIVA,1,7/13/1891 0:00:00
453,VANDALIA,4,6/29/1848 0:00:00
458,E.Z.,4,6/27/1848 0:00:00
459,LA BRETAGNE,16,6/13/1892 0:00:00
462,VINCENZO FLORIO,10,8/20/1880 0:00:00
464,NUOVO MONDO,20,9/10/1880 0:00:00
465,WASHINGTON,10,9/4/1880 0:00:00
467,BEDFORD,10,8/5/1880 0:00:00
468,EGADI,10,8/7/1880 0:00:00
472,KATE HOWE,4,6/30/1848 0:00:00
473,SOPHIA,50,6/27/1848 0:00:00
476,MONTEBELLO,10,11/22/1895 0:00:00
478,INIZIATIVA,10,12/12/1892 0:00:00
480,NO RECORD OF SHIP,16,11/6/1882 0:00:00
490,SARAH SANDS,4,6/28/1848 0:00:00
493,KING PHILIP,63,6/26/1848 0:00:00
499,BOLIVIA,613,4/3/1888 0:00:00
500,VICTORIA,83,9/30/1889 0:00:00
503,SULTAN,59,6/29/1848 0:00:00
504,W M VAIL,4,6/29/1848 0:00:00
505,CITY OF BERLIN,80,6/13/1891 0:00:00
509,BRITISH QUEEN,106,6/29/1848 0:00:00
511,GRAMPION,18,6/26/1848 0:00:00
516,PENNLAND,22,11/3/1887 0:00:00
517,JANE,4,6/29/1848 0:00:00
570,LA NORMANDIE,16,3/12/1895 0:00:00
575,NO RECORD OF SHIP,82,1/3/1881 0:00:00
583,FRANCE,16,12/31/1880 0:00:00
585,TEUTONIC,80,7/22/1891 0:00:00
608,ITALIA,1,3/30/1895 0:00:00
611,VICTORIA,83,4/8/1892 0:00:00
613,CHANDERNAGOR,1,12/14/1893 0:00:00
614,FERDINAND DE LESSEPS,2,7/14/1881 0:00:00
621,CANADA,16,9/1/1880 0:00:00
622,ALSATIA,97,5/13/1892 0:00:00
623,STURA,1,5/9/1892 0:00:00
624,NEUSTRIA,1,3/25/1895 0:00:00
629,BRITANNIA,81,6/13/1895 0:00:00
631,ALESIA,81,6/28/1895 0:00:00
633,ALESIA,1,9/2/1889 0:00:00
634,ALESIA,1,3/2/1895 0:00:00
638,POLARIA,121,11/23/1891 0:00:00
640,BELGRAVIA,1,4/28/1894 0:00:00
642,CALIFORNIA,23,11/28/1891 0:00:00
643,SORRENTO,23,9/5/1891 0:00:00
649,CALDERA,120,9/7/1882 0:00:00
651,MORAVIA,93,7/15/1889 0:00:00
652,CALIFORNIA,287,3/12/1894 0:00:00
653,VIRGINIA,23,1/20/1892 0:00:00
654,LETIMBRO,1,4/28/1894 0:00:00
655,SUEVIA,93,11/23/1891 0:00:00
656,BRITANNIC,80,6/5/1891 0:00:00
657,GELLERT,89,12/16/1893 0:00:00
659,BRITANNIA,81,4/20/1894 0:00:00
666,SCANDIA,93,11/28/1891 0:00:00
667,RHAETIA,93,7/7/1890 0:00:00
670,WIELAND,93,8/31/1889 0:00:00
673,GERGOVIA,81,7/11/1894 0:00:00
675,DONAU,14,7/3/1880 0:00:00
676,JANET,132,10/10/1848 0:00:00
677,SUEVIA,93,5/26/1890 0:00:00
678,WERRA,8,8/22/1892 0:00:00
680,SAINT LAWRENCE,4,10/9/1848 0:00:00
683,ANGENORA,4,7/10/1848 0:00:00
684,ADAM CARR,6,10/10/1848 0:00:00
685,HANNAH,134,7/10/1848 0:00:00
686,W A COOPER,4,7/10/1848 0:00:00
687,MADAWASKA,6,7/10/1848 0:00:00
689,BROTHERS,53,7/11/1848 0:00:00
690,JOSEPH R PRIM,134,7/11/1848 0:00:00
692,KAISER WILHELM II,85,12/12/1892 0:00:00
693,FURST BISMARCK,133,11/28/1891 0:00:00
695,ETRURIA,80,4/18/1892 0:00:00
696,WELLINGTON,61,10/12/1848 0:00:00
698,SIDDONS,4,7/11/1848 0:00:00
699,TRINACRIA,90,4/20/1892 0:00:00
702,HARMONY,50,7/18/1848 0:00:00
703,SCOTIA,59,10/2/1848 0:00:00
704,SARDINIA,4,7/17/1848 0:00:00
705,MARTHA J. WARD,4,7/14/1848 0:00:00
706,ONEIDA,4,7/14/1848 0:00:00
707,GELLERT,93,6/23/1890 0:00:00
708,CHERIBON,1,8/1/1892 0:00:00
710,PEDROZA,38,7/19/1848 0:00:00
711,ASHLAND,4,7/21/1848 0:00:00
712,FULDA,85,8/1/1892 0:00:00
713,FULDA,85,3/7/1892 0:00:00
714,YORKSHIRE,4,10/28/1848 0:00:00
715,ROBERT A. PARKER,35,7/14/1848 0:00:00
716,ARCHIMEDES,106,7/13/1848 0:00:00
717,STUART ELPHUSTON,6,7/12/1848 0:00:00
718,PHILAH,18,7/21/1848 0:00:00
719,MASONIC,4,7/20/1848 0:00:00
720,LORD FITZGERALD,35,7/1/1848 0:00:00
721,JAMESTOWN,4,7/8/1848 0:00:00
722,VICTORIA,1,8/13/1892 0:00:00
723,FULDA,85,2/1/1892 0:00:00
724,PLATA,1,5/19/1894 0:00:00
727,ELIZA MORRISON,18,7/8/1848 0:00:00
729,HINDOUSTAN,1,5/15/1894 0:00:00
730,FULDA,85,4/11/1892 0:00:00
731,VIRGINIA,23,11/24/1891 0:00:00
732,WYOMING,80,9/26/1892 0:00:00
734,FULDA,85,12/28/1892 0:00:00
735,JANE ANDERSON,46,7/3/1848 0:00:00
738,PURSUIT,4,7/3/1848 0:00:00
739,RHAETIA,93,6/2/1890 0:00:00
744,M.STEWART ELPHINSTON,6,11/6/1848 0:00:00
745,LIVERPOOL,4,7/10/1848 0:00:00
746,SORRENTO,23,7/11/1891 0:00:00
748,BURGUNDIA,1,2/19/1892 0:00:00
755,RHAETIA,93,3/2/1891 0:00:00
757,FULDA,85,9/7/1892 0:00:00
759,NORMANNIA,23,10/19/1891 0:00:00
761,RUSSIA,23,5/11/1892 0:00:00
763,ALESIA,1,11/6/1889 0:00:00
766,ALBINGIA,23,7/29/1892 0:00:00
769,MARGARET JANE,136,1/12/1846 0:00:00
771,EMPIRE,4,1/15/1846 0:00:00
772,OXFORD,4,1/16/1846 0:00:00
773,ROCHESTER,4,1/16/1846 0:00:00
776,CORNELIA,4,1/26/1846 0:00:00
777,NEW YORK,70,1/26/1846 0:00:00
779,VIRGINIAN,4,1/29/1846 0:00:00
780,HYDER ALI,137,2/2/1846 0:00:00
781,MASSILIA,1,5/25/1896 0:00:00
782,COLUMBUS,4,2/2/1846 0:00:00
783,WATERLOO,4,2/5/1846 0:00:00
784,MUDARA,17,2/7/1846 0:00:00
786,SAINT GEORGE,4,2/18/1846 0:00:00
787,ADAM CARR,6,2/19/1846 0:00:00
788,FIDELIA,4,2/23/1846 0:00:00
790,GRANDEE,70,3/2/1846 0:00:00
791,TORONTO,61,3/4/1846 0:00:00
792,MASSACHUSETTS,4,3/5/1846 0:00:00
793,HOTTINGUER,4,3/6/1846 0:00:00
794,ASHBURTON,4,3/7/1846 0:00:00
796,ROSCIUS,4,3/7/1846 0:00:00
797,SEA,4,3/9/1846 0:00:00
798,HENDRIK HUDSON,61,3/9/1846 0:00:00
799,CENTURION,4,7/11/1848 0:00:00
800,EUROPE,4,3/9/1846 0:00:00
801,PACIFIC,4,3/9/1846 0:00:00
802,NEW YORK,4,3/13/1846 0:00:00
804,OHIO,4,3/13/1846 0:00:00
805,PRINCE ALBERT,61,3/13/1846 0:00:00
806,LIVERPOOL,4,3/13/1846 0:00:00
809,SHAKESPEARE,4,3/14/1846 0:00:00
810,JOHN R SKIDDY,4,3/16/1846 0:00:00
811,HUDSON,6,3/19/1846 0:00:00
812,WESTMINSTER,61,3/24/1846 0:00:00
813,SAMUEL HICKS,4,3/24/1846 0:00:00
814,HEBE,4,7/1/1848 0:00:00
